Category,One Word Substitution,Generic terms,Relevance
Generic,An act of abdicating or renouncing the throne,Abdication,2
Generic,An annual calendar containing important dates and statistical information such as astronomical data and tide tables,Almanac,2
Generic,A cold-blooded vertebrate animal that is born in water and breathes with gills,Amphibian,2
Generic,"A story, poem, or picture that can be interpreted to reveal a hidden meaning, typically a moral or political one",Allegory,2
Generic,A statement or proposition on which an abstractly defined structure is based,Axiom,2
Generic,"A nation or person engaged in war or conflict, as recognized by international law",Belligerent,2
Generic,"An examination of tissue removed from a living body to discover the presence, cause or extent of a disease",Biopsy,2
Generic,The action or offence of speaking sacrilegiously about God or sacred things; profane talk,Blasphemy,2
Generic,The arrangement of events or dates in the order of their occurrence,Chronology,2
Generic,"A vigorous campaign for political, social, or religious change",Crusade,2
Generic,Lasting for a very short time,Ephemeral,2
Generic,Spoken or done without preparation,Extempore,2
Generic,Release someone from a duty or obligation,Exonerate,2
Generic,Fond of company,Gregarious,2
Generic,Making marks that cannot be removed,Indelible,2
Generic,Incapable of making mistakes or being wrong,Infallible,2
Generic,Certain to happen,Inevitable,2
Generic,A sentimental longing or wistful affection for a period in the past,Nostalgia,2
Generic,A solution or remedy for all difficulties or diseases,Panacea,2
Generic,A doctrine which identifies God with the universe,Pantheism,2
Generic,Excessively concerned with minor details or rules,Pedantic,2
Generic,The practice of taking someone else’s work or ideas and passing them off as one’s own,Plagiarism,2
Generic,Safe to drink,Potable,2
Generic,The emblems or insignia of royalty,Regalia,2
Generic,Violation or misuse of what is regarded as sacred,Sacrilege,2
Generic,A position requiring little or no work but giving the holder status or financial benefit,Sinecure,2
Generic,"A thing that is kept as a reminder of a person, place, or event",Souvenir,2
Generic,An imaginary ideal society free of poverty and suffering,Utopia,2
Generic,Denoting a sin that is not regarded as depriving the soul of divine grace,Venial,2
Generic,In exactly the same words as were used originally,Verbatim,2
Systems,A state of disorder due to absence or non-recognition of authority or other controlling systems,Anarchy,2
Systems,A form of government in which power is held by the nobility,Aristocracy,2
Systems,A system of government by one person with absolute power,Autocracy,2
Systems,A self-governing country or region,Autonomy,2
Systems,A system of government in which most of the important decisions are taken by state officials rather than by elected representatives,Bureaucracy,2
Systems,"A system of government by the whole population or all the eligible members of a state, typically through elected representatives",Democracy,2
Systems,"A state, society, or group governed by old people",Gerontocracy,2
Systems,"A state or country run by the worst, least qualified, or most unscrupulous citizens",Kakistocracy,2
Systems,Government by new or inexperienced hands,Neocracy,2
Systems,Government by the populace,Ochlocracy,2
Systems,A small group of people having control of a country or organization,Oligarchy,2
Systems,Government by the wealthy,Plutocracy,2
Systems,Government not connected with religious or spiritual matters,Secular,2
Systems,A form of government with a monarch at the head,Monarchy,2
Systems,A political system based on the government of men by God,Thearchy,2
Venue / place / spot,"A collection of historical documents or records providing information about a place, institution, or group of people",Archives,2
Venue / place / spot,"A large cage, building, or enclosure to keep birds ",Aviary,2
Venue / place / spot,A building where animals are butchered,Abattoir,2
Venue / place / spot,A place where bees are kept; a collection of beehives,Apiary,2
Venue / place / spot,A building containing tanks of live fish of different species,Aquarium,2
Venue / place / spot,"A place or scene of activity, debate, or conflict",Arena,2
Venue / place / spot,A collection of weapons and military equipment,Arsenal,2
Venue / place / spot,An institution for the care of people who are mentally ill,Asylum,2
Venue / place / spot,"A hole or tunnel dug by a small animal, especially a rabbit, as a dwelling",Burrow,2
Venue / place / spot,A collection of items of the same type stored in a hidden or inaccessible place,Cache,2
Venue / place / spot,A public room or building where gambling games are played,Casino,2
Venue / place / spot,"A large burial ground, especially one not in a churchyard",Cemetery,2
Venue / place / spot,A room in a public building where outdoor clothes or luggage may be left,Cloakroom,2
Venue / place / spot,A place where a dead person’s body is cremated,Crematorium,2
Venue / place / spot,A Christian community of nuns living together under monastic vows,Convent,2
Venue / place / spot,Nursery where babies and young children are cared for during the working day,Creche,2
Venue / place / spot,A stoppered glass container into which wine or spirit is decanted,Decanter,2
Venue / place / spot,A large bedroom for a number of people in a school or institution,Dormitory,2
Venue / place / spot,"The nest of a squirrel, typically in the form of a mass of twigs in a tree",Drey,2
Venue / place / spot,"A room or building equipped for gymnastics, games, and other physical exercise",Gymnasium,2
Venue / place / spot,A storehouse for threshed grain,Granary,2
Venue / place / spot,"A large building with an extensive floor area, typically for housing aircraft",Hangar,2
Venue / place / spot,"A box or cage, typically with a wire mesh front, for keeping rabbits or other small domesticated animals",Hutch,2
Venue / place / spot,A place in a large institution for the care of those who are ill,Infirmary,2
Venue / place / spot,A small shelter for a dog,Kennel,2
Venue / place / spot,A place where wild animal live,Lair,2
Venue / place / spot,"A place where coins, medals, or tokens are made",Mint,2
Venue / place / spot,A collection of wild animals kept in captivity for exhibition,Menagerie,2
Venue / place / spot,A building or buildings occupied by a community of monks living under religious vows,Monastery,2
Venue / place / spot,A place where bodies are kept for identification,Morgue,2
Venue / place / spot,A piece of enclosed land planted with fruit trees,Orchard,2
Venue / place / spot,A large natural or artificial lake used as a source of water supply,Reservoir,2
Venue / place / spot,A small kitchen or room at the back of a house used for washing dishes and another dirty household work,Scullery,2
Venue / place / spot,A close-fitting cover for the blade of a knife or sword,Sheath,2
Venue / place / spot,A room or building for sick children in a boarding school,Sanatorium,2
Venue / place / spot,A place where animal hides are tanned,Tannery,2
Venue / place / spot,"A large, tall cupboard in which clothes may be hung or stored",Wardrobe,2
Group / collection,A group of guns or missile launchers operated together at one place,Battery,2
Group / collection,A large bundle bound for storage or transport,Bale,2
Group / collection,A large gathering of people of a particular type,Bevy,2
Group / collection,An arrangement of flowers that is usually given as a present,Bouquet,2
Group / collection,A family of young animals,Brood,2
Group / collection,A group of things that have been hidden in a secret place,Cache,2
Group / collection,"A group of people, typically with vehicles or animals travelling together",Caravan,2
Group / collection,A closed political meeting,Caucus,2
Group / collection,An exclusive circle of people with a common purpose,Clique,2
Group / collection,A group of followers hired to applaud at a performance,Claque,3
Group / collection,A series of stars,Constellation,3
Group / collection,A funeral procession,Cortege,3
Group / collection,A group of worshippers,Congregation,3
Group / collection,A herd or flock of animals being driven in a body,Drove,3
Group / collection,A small fleet of ships or boats,Flotilla,3
Group / collection,A small growth of trees without underbrush,Grove,3
Group / collection,A community of people smaller than a village,Hamlet,3
Group / collection,A group of cattle or sheep or other domestic mammals,Herd,3
Group / collection,A large group of people,Horde,3
Group / collection,A temporary police force,Posse,3
Group / collection,A large number of fish swimming together,Shoal,3
Group / collection,A strong and fast-moving stream of water or other liquid,Torrent,3
Person or people,One who is not sure about God’s existence,Agnostic,3
Person or people,A person who deliberately sets fire to a building,Arsonist,3
Person or people,One who does a thing for pleasure and not as a profession,Amateur,3
Person or people,One who can use either hand with ease,Ambidextrous,3
Person or people,One who makes an official examination of accounts,Auditor,3
Person or people,A person who believes in or tries to bring about a state of lawlessness,Anarchist,3
Person or people,A person who has changed his faith,Apostate,3
Person or people,One who does not believe in the existence of God,Atheist,3
Person or people,A person appointed by two parties to solve a dispute,Arbitrator,3
Person or people,One who leads an austere life,Ascetic,3
Person or people,An unconventional style of living,Bohemian,3
Person or people,One who is bad in spellings,Cacographer,3
Person or people,One who feeds on human flesh,Cannibal,3
Person or people,A person who is blindly devoted to an idea/ a person displaying aggressive or exaggerated patriotism,Chauvinist,3
Person or people,A critical judge of any art and craft,Connoisseur,3
Person or people,Persons living at the same time,Contemporaries,3
Person or people,One who is recovering health after illness,Convalescent,3
Person or people,A girl/woman who flirts with a man,Coquette,3
Person or people,A person who regards the whole world as his country,Cosmopolitan,3
Person or people,One who is a centre of attraction,Cynosure,3
Person or people,One who sneers at the beliefs of others,Cynic,3
Person or people,A leader or orator who espouses the cause of the common people,Demagogue,3
Person or people,A person having a sophisticated charm,Debonair,3
Person or people,A leader who sways his followers by his oratory,Demagogue,3
Person or people,"A dabbler (not serious) in art, science and literature",Dilettante,3
Person or people,One who is for pleasure of eating and drinking,Epicure,3
Person or people,One who often talks of his achievements,Egotist,3
Person or people,Someone who leaves one country to settle in another,Emigrant,3
Person or people,A man who is womanish in his habits,Effeminate,3
Person or people,One who is hard to please (very selective in his habits),Fastidious,3
Person or people,One who runs away from justice,Fugitive,3
Person or people,One who is filled with excessive enthusiasm in religious matters,Fanatic,3
Person or people,One who believes in fate,Fatalist,3
Person or people,A lover of good food,Gourmand,3
Person or people,Conferred as an honour,Honorary,3
Person or people,A person who acts against religion,Heretic,3
Person or people,A person of intellectual or erudite tastes,Highbrow,3
Person or people,A patient with imaginary symptoms and ailments,Hypochondriac,3
Person or people,A person who is controlled by wife,Henpeck,3
Person or people,One who shows sustained enthusiastic action with unflagging vitality,Indefatigable,3
Person or people,Someone who attacks cherished ideas or traditional institutions,Iconoclast,3
Person or people,One who does not express himself freely,Introvert,3
Person or people,Who behaves without moral principles,Immoral,3
Person or people,A person who is incapable of being tampered with,Impregnable,3
Person or people,One who is unable to pay his debts,Insolvent,3
Person or people,A person who is mentally ill,Lunatic,3
Person or people,A person who dislikes humankind and avoids human society,Misanthrope,3
Person or people,A person who is primarily concerned with making money at the expense of ethics,Mercenary,3
Person or people,Someone in love with himself,Narcissist,3
Person or people,One who collect coins as hobby,Numismatist,3
Person or people,A person who likes or admires women,Philogynist,3
Person or people,A lover of mankind,Philanthropist,3
Person or people,A person who speaks more than one language,Polyglot,3
Person or people,One who lives in solitude,Recluse,3
Person or people,Someone who walks in sleep,Somnambulist,3
Person or people,A person who is indifferent to the pains and pleasures of life,Stoic,3
Person or people,A scolding nagging bad-tempered woman,Termagant,3
Person or people,A person who shows a great or excessive fondness for one’s wife,Uxorious,3
Person or people,One who possesses outstanding technical ability in a particular art or field,Virtuoso,3
Profession or Research,The medieval forerunner of chemistry,Alchemy,3
Profession or Research,A person who presents a radio/television programme,Anchor,3
Profession or Research,One who studies the evolution of mankind,Anthropologist,3
Profession or Research,A person who is trained to travel in a spacecraft,Astronaut,3
Profession or Research,"The scientific study of the physiology, structure, genetics, ecology, distribution, classification and economic importance of plants",Botany,3
Profession or Research,A person who draws or produces maps,Cartographer,3
Profession or Research,A person who writes beautiful writing,Calligrapher,3
Profession or Research,A person who composes the sequence of steps and moves for a performance of dance,Choreographer,3
Profession or Research,A person employed to drive a private or hired car,Chauffeur,3
Profession or Research,A person who introduces the performers or contestants in a variety show,Compere,3
Profession or Research,A keeper or custodian of a museum or other collection,Curator,3
Profession or Research,The branch of biology concerned with cyclical physiological phenomena,Chronobiology,3
Profession or Research,A secret or disguised way of writing,Cypher,3
Profession or Research,The study of statistics,Demography,3
Profession or Research,The use of the fingers and hands to communicate and convey ideas,Dactylology,3
Profession or Research,A person who sells and arranges cut flowers,Florist,3
Profession or Research,A line of descent traced continuously from an ancestor,Genealogy,3
Profession or Research,The therapeutic use of sunlight,Heliotherapy,3
Profession or Research,The art or practise of garden cultivation and management,Horticulture,3
Profession or Research,One who supervises in the examination hall,Invigilator,3
Profession or Research,The theory or philosophy of law,Jurisprudence,3
Profession or Research,A person who compiles dictionaries,Lexicographer,3
Profession or Research,The scientific study of the structure and diseases of teeth,Odontology,3
Profession or Research,One who presents a radio programme,Radio Jockey,3
Profession or Research,The art of effective or persuasive speaking or writing,Rhetoric,3
Profession or Research,"The branch of science concerned with the origin, structure and composition of rocks",Petrology,3
Profession or Research,One who studies the elections and trends in voting,Psephologist,3
Profession or Research,An artist who makes sculptures.,Sculptor,3
Profession or Research,"The scientific study of the behaviour, structure, physiology, classification and distribution of animals",Zoology,3
