id,proverb,meaning,example,relevance
1,Actions speak louder than words.,What a person does is more important than what they say.,"Tim promised to help his friend with his homework, but he never showed up. His actions speak louder than words.","1,2"
2,Don't count your chickens before they hatch.,Don't assume something will happen until it actually does.,"Sarah was already planning her birthday party, but she didn't win the contest. She learned not to count her chickens before they hatch.","3,4"
3,All that glitters is not gold.,Not everything that looks good or attractive is necessarily valuable or trustworthy.,The shiny toy car in the store window turned out to be made of plastic. Sarah realized that all that glitters is not gold.,"5,6"
4,"Where there's smoke, there's fire.","If there are signs or indications of a problem, there is likely a real issue.","The teacher noticed some students whispering and giggling in class. She investigated and found out that there was a fire drill scheduled. She understood that where there's smoke, there's fire.","1,2,3,4"
5,Slow and steady wins the race.,Consistency and perseverance are key to achieving success.,"Tom practiced playing the guitar every day, while his friend practiced only occasionally. In the end, Tom's slow and steady approach paid off, and he became a skilled guitarist.","3,4,5,6"
6,A picture is worth a thousand words.,A single image can convey a complex idea or message more effectively than words.,"Sarah showed her friends a picture of her recent vacation, and they understood how amazing it was. She realized that a picture is worth a thousand words.","1,2,3,4,5,6"
7,Don't put all your eggs in one basket.,"Don't rely too heavily on one single thing or plan, as it may be risky.","James invested all his money in one stock, and when it crashed, he lost everything. He learned the hard way not to put all his eggs in one basket.","1,2"
8,You can't have your cake and eat it too.,You cannot enjoy the benefits of two conflicting choices at the same time.,Jack wanted to play video games all day and also go to the park with his friends. But his mom told him he can't have his cake and eat it too.,"3,4"
9,Don't bite the hand that feeds you.,Don't harm or criticize those who are helping or supporting you.,"Jenny complained about her teacher in front of her classmates, not realizing that the teacher had written a recommendation letter for her. Her mom reminded her not to bite the hand that feeds her.","5,6"
10,It's a piece of cake.,It's very easy or simple.,"Sarah thought the math problem would be difficult, but when she solved it, she realized it was a piece of cake.","1,2,3,4"
11,Two wrongs don't make a right.,It's not acceptable to respond to a wrong or injustice with another wrong or injustice.,"When Tim's friend pushed him, he resisted the urge to push back, remembering that two wrongs don't make a right.","3,4,5,6"
12,"When in Rome, do as the Romans do.",Adapt to the customs or practices of a new place or situation.,"Sarah learned to bow as a sign of respect when she visited Japan because she understood that when in Rome, do as the Romans do.","1,2,3,4,5,6"
13,The early bird catches the worm.,Being prompt and proactive can lead to success.,"Jack woke up early every day to study for his exams, and he scored the highest marks in the class. He realized that the early bird catches the worm.","1,2"
14,Don't judge a book by its cover.,Don't form opinions or make assumptions based solely on appearance.,"Jenny didn't initially like her new classmate because she dressed differently, but when she got to know her, she realized that she was kind and friendly. She learned not to judge a book by its cover.","3,4"
15,Haste makes waste.,Rushing can result in mistakes or poor outcomes.,Sarah was in a hurry to finish her project and made several errors. She realized that haste makes waste.,"5,6"
16,The proof of the pudding is in the eating.,The real value or quality of something is evident when it is put to use or tested.,"Tom bought an expensive toy, but it broke after a few days. He understood that the proof of the pudding is in the eating.","1,2,3,4"
17,"All for one, and one for all.",Working together as a team and supporting each other.,"The soccer team cheered for their teammate who scored the winning goal. They understood the importance of all for one, and one for all.","3,4,5,6"
18,"Where there is a will, there is a way.",Determination and perseverance can overcome obstacles.,"Despite facing challenges, James was determined to learn to ride a bike, and he kept practicing until he succeeded. He understood that where there is a will, there is a way.","1,2,3,4,5,6"
19,Cleanliness is next to godliness.,Keeping things clean and tidy is important.,"Sarah always made sure to tidy up her room and keep her belongings organized, remembering that cleanliness is next to godliness.","1,2"
20,"If the shoe fits, wear it.",Accepting criticism or feedback that applies to oneself.,"When Jenny's teacher pointed out her mistake, she didn't get defensive but accepted it and corrected it, understanding that if the shoe fits, wear it.","3,4"
21,A stitch in time saves nine.,Taking timely action can prevent problems from getting worse.,"Tom fixed a small leak in his bike tire as soon as he noticed it, which saved him from having to replace the entire tire later. He realized that a stitch in time saves nine.","5,6"
22,You reap what you sow.,"Your actions have consequences, and you will face the results of your choices.","Jack studied diligently for his exams and scored well, understanding that you reap what you sow.","1,2,3,4"
23,"When the going gets tough, the tough get going.","In difficult situations, strong and resilient people take action.","Despite facing challenges, Sarah didn't give up and continued to work hard, remembering that when the going gets tough, the tough get going.","3,4,5,6"
24,Actions speak louder than words.,What someone does is more significant than what they say.,"Tim promised to help his friend with his homework, but he never showed up. His friend realized that actions speak louder than words.","1,2,3,4,5,6"
25,"Where there's smoke, there's fire.","If there are signs or rumors of something, there is likely some truth to it.","Sarah heard rumors about a new toy store opening in town, and she was excited to find out that it was true. She understood that where there's smoke, there's fire.","1,2"
26,You can't have your cake and eat it too.,You can't have all the benefits of something without sacrificing something else.,"Tom wanted to buy a new video game and save money, but he also wanted to buy snacks every day. His mom told him that he can't have his cake and eat it too.","3,4"
27,The best things in life are free.,"The most valuable things in life, such as love and happiness, are not material possessions.",Jenny realized that spending time with her family and playing in the park were the best things in life and they were free.,"5,6"
28,Don't put all your eggs in one basket.,Don't rely solely on one option or plan.,"Jack wanted to apply to multiple colleges instead of putting all his eggs in one basket, in case he didn't get accepted to his first choice.","1,2,3,4"
29,A watched pot never boils.,"If you wait anxiously for something to happen, it seems to take longer.","Sarah kept checking the clock while waiting for her cookies to bake, but her mom reminded her that a watched pot never boils.","3,4,5,6"
30,Don't count your chickens before they hatch.,Don't assume something will happen before it actually does.,Tom was already planning how he would spend his prize money before he won the contest. His dad reminded him not to count his chickens before they hatch.,"1,2,3,4,5,6"
31,Better late than never.,It's better to do something late than not do it at all.,"Jenny finished her homework just before bedtime, and her mom told her that it's better late than never.","1,2"
32,A penny for your thoughts.,Asking someone to share their thoughts or opinions.,"Jack was lost in thought, and his friend asked him if he could have a penny for his thoughts.","3,4"
33,"The more, the merrier.",Having more people or things makes a situation more enjoyable.,"Sarah invited all her friends to her birthday party because she believed that the more, the merrier.","5,6"
34,"If the cap fits, wear it.","If something is applicable to you, accept it.","Tom was criticized for not doing his homework, and he accepted the feedback because he knew that if the cap fits, wear it.","1,2,3,4"
35,Out of the frying pan and into the fire.,Escaping one difficult situation only to enter another.,"Jenny was relieved to finish her big project, but then she realized she had an exam the next day. She felt like she was out of the frying pan and into the fire.","3,4,5,6"
36,A bird in the hand is worth two in the bush.,It's better to have something for sure than to risk losing it for something uncertain.,"Jack decided to accept the job offer he had instead of waiting for a better offer, understanding that a bird in the hand is worth two in the bush.","1,2,3,4,5,6"
37,A picture is worth a thousand words.,A visual image can convey a lot of information or emotion.,"Sarah showed her friend a photo of her puppy, and her friend immediately understood how cute and playful the puppy was. Sarah realized that a picture is worth a thousand words.","1,2"
38,Cleanliness is next to godliness.,Keeping oneself and one's surroundings clean is important.,Tom's mom always emphasized the importance of cleanliness and taught him that cleanliness is next to godliness.,"3,4"
39,Don't judge a book by its cover.,Don't form opinions about someone or something based solely on appearance.,"Jenny was hesitant to befriend a new student in her class because they looked different, but her teacher reminded her not to judge a book by its cover.","5,6"
40,All is fair in love and war.,"In certain situations, people are allowed to behave in ways that would normally be considered unacceptable.","Jack and his friend were competing in a game, and they both used competitive strategies to win. They understood that all is fair in love and war.","1,2,3,4"
41,There's no smoke without fire.,"If there are rumors or signs of something, there is likely some truth to it.","Sarah heard rumors about a surprise party for her, and she found out that it was true. She realized that there's no smoke without fire.","3,4,5,6"
42,You reap what you sow.,"Your actions have consequences, and you will face the results of your actions.",Tom didn't study for his test and ended up getting a low grade. He learned that you reap what you sow.,"1,2,3,4,5,6"
43,Haste makes waste.,Rushing or being careless can result in mistakes or wastefulness.,Jenny was in a hurry to finish her project and made several errors. Her teacher reminded her that haste makes waste.,"1,2"
44,Practice makes perfect.,Repeating and practicing a skill or activity leads to improvement.,"Jack kept practicing his guitar every day, and he gradually became better. He learned that practice makes perfect.","3,4"
45,The early bird catches the worm.,Being proactive and starting early gives an advantage.,Sarah woke up early to prepare for her exam and was able to revise all her notes before the exam. She understood that the early bird catches the worm.,"5,6"
46,It's a piece of cake.,Something is easy to do.,"Tom thought that solving the math problem would be difficult, but with his teacher's help, he realized that it's a piece of cake.","1,2,3,4"
47,You're barking up the wrong tree.,Accusing or criticizing the wrong person or thing.,"Jenny blamed her sister for eating her snack, but later found out it was her own mistake. Her mom told her that she's barking up the wrong tree.","3,4,5,6"
48,You can't make an omelet without breaking eggs.,Achieving something requires sacrifices or hardships.,"Jack knew that preparing for his school play would be challenging and time-consuming, but he believed that you can't make an omelet without breaking eggs.","1,2,3,4,5,6"
49,A stitch in time saves nine.,Taking timely action to fix a small problem can prevent it from becoming a bigger problem later.,"Sarah noticed a small tear in her shirt and immediately stitched it up, avoiding further damage. She understood that a stitch in time saves nine.","1,2"
50,Actions speak louder than words.,What you do is more important than what you say.,"Tom promised his friend that he would help with the project, but he didn't show up. His friend realized that actions speak louder than words.","3,4"
51,"When in Rome, do as the Romans do.",Adapt to the customs or behavior of a particular place or group.,"Jenny moved to a new country and learned to respect and follow the local customs. She understood that when in Rome, do as the Romans do.","5,6"
52,Don't count your chickens before they hatch.,Don't make plans or celebrate something before it actually happens.,"Jack was already planning what he would do with the money from his part-time job, but his dad reminded him not to count his chickens before they hatch.","1,2,3,4"
53,The best things in life are free.,"Things like love, friendship, and happiness are priceless and cannot be bought.","Sarah enjoyed spending time with her family and friends in the park, realizing that the best things in life are free.","3,4,5,6"
54,"When the going gets tough, the tough get going.","In difficult situations, strong people take action and persevere.","Tom faced challenges while preparing for his exams, but he didn't give up. He believed that when the going gets tough, the tough get going.","1,2,3,4,5,6"
